isr_reduction,glut_reduction,isr_value,glut_value,genuine_tipping_rate,first_death_step,plateau_survivors,mean_spatial_coherence_r,peak_death_slope,functional_survival_duration,benefit_score,synergy,synergy_boot,ci_lo,ci_hi,synergy_class
0.0,0.0,2.0,0.01,1.0,168.0,9.0,0.673,10.5,226.0,0.0,0.0,0.0,0.0,0.0,n/a
0.0,0.5,2.0,0.005,1.0,169.5,9.0,0.678,10.0,227.0,0.0015,0.0,0.0,0.0,0.0,n/a
0.0,0.7,2.0,0.003,1.0,168.5,9.5,0.676,10.0,225.0,0.0027,0.0,0.0,0.0,0.0,n/a
0.0,0.9,2.0,0.001,1.0,169.5,9.0,0.666,10.0,224.5,0.0009,0.0,0.0,0.0,0.0,n/a
0.0,0.99,2.0,0.0001,1.0,168.5,9.0,0.68,10.0,225.5,0.0003,,,,,
0.1,0.0,1.8,0.01,1.0,174.0,10.0,0.65,10.0,231.0,0.0112,0.0,0.0,0.0,0.0,n/a
0.1,0.5,1.8,0.005,1.0,172.0,10.0,0.641,10.0,232.5,0.0108,-0.0019,-0.0032,-0.0123,0.0056,additive
0.1,0.7,1.8,0.003,1.0,174.0,11.0,0.652,10.0,231.0,0.016,0.0021,-0.0005,-0.0093,0.0065,additive
0.1,0.9,1.8,0.001,1.0,173.0,11.0,0.65,9.0,232.0,0.0159,0.0038,0.0005,-0.0083,0.0072,additive
0.2,0.0,1.6,0.01,1.0,180.5,11.0,0.653,9.5,243.5,0.0267,0.0,0.0,0.0,0.0,n/a
0.2,0.5,1.6,0.005,1.0,179.5,10.5,0.644,10.5,237.5,0.0204,-0.0078,-0.0096,-0.0189,0.0027,additive
0.2,0.7,1.6,0.003,1.0,176.0,11.0,0.636,9.0,241.0,0.0226,-0.0068,-0.0076,-0.0175,0.0022,additive
0.2,0.9,1.6,0.001,1.0,179.0,11.0,0.653,9.5,244.0,0.0261,-0.0015,-0.0037,-0.016,0.0087,additive
0.3,0.0,1.4,0.01,1.0,180.5,12.0,0.619,9.0,252.0,0.0362,0.0,0.0,0.0,0.0,n/a
0.3,0.5,1.4,0.005,1.0,186.5,12.0,0.624,9.5,248.5,0.0379,0.0002,0.0021,-0.0079,0.0108,additive
0.3,0.7,1.4,0.003,1.0,183.5,12.0,0.61,9.5,250.5,0.0372,-0.0017,-0.0026,-0.0136,0.006,additive
0.3,0.9,1.4,0.001,1.0,182.0,11.5,0.625,9.0,245.0,0.0309,-0.0062,-0.0059,-0.0151,0.0036,additive
0.5,0.0,1.0,0.01,1.0,195.0,12.5,0.559,9.0,269.5,0.0569,0.0,0.0,0.0,0.0,n/a
0.5,0.5,1.0,0.005,1.0,197.0,13.0,0.53,9.0,265.0,0.0581,-0.0003,-0.0022,-0.0131,0.0067,additive
0.5,0.7,1.0,0.003,1.0,197.5,13.0,0.563,8.5,266.0,0.0589,-0.0007,-0.0003,-0.0103,0.0089,additive
0.5,0.9,1.0,0.001,1.0,199.0,13.0,0.55,9.0,269.5,0.0617,0.0039,0.0007,-0.0068,0.0083,additive
0.7,0.0,0.6,0.01,0.95,218.0,14.0,0.464,8.0,293.5,0.1111,,,,,
