isr_suppression_pct,isr_value,genuine_tipping_rate,gtr_ci_lo,gtr_ci_hi,first_death_step,tipping_step,plateau_survivors,spatial_coherence_r,functional_survival_duration,peak_death_slope,benefit_score
0,2.0,1.0,1.0,1.0,170.0,174.0,9.0,0.6745,225.0,10.0,0.0
10,1.8,1.0,1.0,1.0,174.0,178.0,10.0,0.6633,231.0,10.0,0.0105
20,1.6,1.0,1.0,1.0,179.0,186.0,11.0,0.6315,240.5,10.0,0.02352
30,1.4,1.0,1.0,1.0,183.5,192.5,12.0,0.6179,249.5,9.0,0.03597
40,1.2,1.0,1.0,1.0,190.5,198.5,12.0,0.5915,253.0,9.0,0.04212
50,1.0,1.0,1.0,1.0,198.0,209.0,13.0,0.543,264.0,9.0,0.05747
60,0.8,1.0,1.0,1.0,205.0,218.5,13.0,0.4975,275.0,8.0,0.06772
70,0.6,0.98,0.94,1.0,214.5,229.5,14.0,0.4475,287.5,8.0,0.0931
75,0.5,0.96,0.9,1.0,218.5,238.0,14.0,0.4212,295.0,9.0,0.10761
80,0.4,0.88,0.78,0.96,223.0,242.5,14.0,0.3857,306.5,8.0,0.14861
85,0.3,0.86,0.76,0.94,224.0,250.0,15.0,0.3759,307.5,8.0,0.16257
90,0.2,0.58,0.44,0.7,234.5,255.5,16.0,0.33,321.0,8.0,0.29311
92,0.16,0.64,0.52,0.76,234.5,260.0,15.5,0.3291,318.5,9.0,0.26534
94,0.12,0.56,0.42,0.7,239.0,267.5,16.0,0.3256,323.0,8.0,0.30493
95,0.1,0.68,0.54,0.8,242.5,264.5,16.0,0.322,325.0,8.0,0.26014
96,0.08,0.56,0.42,0.68,240.5,264.5,16.0,0.3003,320.5,9.0,0.30447
97,0.06,0.44,0.3,0.58,241.5,266.0,16.0,0.2869,333.5,8.0,0.36017
98,0.04,0.36,0.22,0.5,245.5,271.5,17.0,0.2692,331.0,8.0,0.39804
99,0.02,0.52,0.38,0.66,244.0,270.5,17.0,0.2952,327.0,8.0,0.33095
