t_start,genuine_tipping_rate,ci_lo,ci_hi,benefit_score,plateau_survivors,functional_survival,spatial_coherence_r,first_death_step,mean_agg_at_t,mean_atp_at_t,n_dead_at_t,n_irreversible_at_t
0,0.0,0.0,0.0,0.961,53.0,500.0,0.173,386.9,0.004,1.0,0.0,0.0
25,0.04,0.0,0.1,0.91,45.7,500.0,0.182,337.2,0.028,0.987,0.0,0.0
50,0.2,0.1,0.3,0.72,32.9,494.0,0.208,283.8,0.056,0.964,0.0,0.0
75,0.522,0.38,0.66,0.454,24.1,419.8,0.378,238.6,0.089,0.934,0.0,0.0
100,0.938,0.86,1.0,0.181,19.4,340.0,0.529,205.4,0.13,0.897,0.0,0.0
125,0.979,0.94,1.0,0.095,16.2,292.3,0.64,181.1,0.181,0.851,0.0,0.0
150,1.0,1.0,1.0,0.047,14.8,255.0,0.69,170.7,0.246,0.791,0.0,0.0
175,1.0,1.0,1.0,0.027,13.4,235.5,0.701,169.0,0.302,0.737,2.42,0.04
200,1.0,1.0,1.0,0.019,12.3,228.4,0.693,169.9,0.286,0.743,15.14,0.04
225,1.0,1.0,1.0,0.013,11.8,223.4,0.685,168.8,0.208,0.807,30.9,0.06
250,1.0,1.0,1.0,0.014,11.7,224.4,0.665,169.3,0.186,0.822,35.94,0.06
300,1.0,1.0,1.0,0.007,10.5,224.3,0.666,169.1,0.131,0.868,43.22,0.1
